Date,Price,Open,High,Low,Vol.,Change %
2/19/2023,"1,817.10","1,851.20","1,856.35","1,815.50",NA,-1.27%
2/12/2023,"1,840.40","1,859.00","1,862.00","1,818.40",1.82K,-1.20%
2/5/2023,"1,862.80","1,865.60","1,884.60","1,852.40",1.17K,-0.01%
1/29/2023,"1,862.90","1,928.30","1,959.10","1,861.50",32.17K,-3.45%
1/22/2023,"1,929.40","1,928.40","1,949.80","1,912.50",805.36K,0.06%
1/15/2023,"1,928.20","1,923.80","1,939.00","1,898.60",701.58K,0.34%
1/8/2023,"1,921.70","1,872.80","1,925.30","1,869.30",862.49K,2.78%
1/1/2023,"1,869.70","1,831.80","1,875.20","1,829.90",599.23K,2.38%
12/25/2022,"1,826.20","1,808.20","1,841.90","1,804.20",383.68K,1.22%
12/18/2022,"1,804.20","1,801.60","1,833.80","1,792.70",569.54K,0.22%
12/11/2022,"1,800.20","1,808.00","1,836.90","1,782.00",667.81K,-0.58%
12/4/2022,"1,810.70","1,810.50","1,822.90","1,778.10",579.52K,0.06%
11/27/2022,"1,809.60","1,771.10","1,818.70","1,752.90",674.26K,2.31%
11/20/2022,"1,768.80","1,766.60","1,776.00","1,733.50",262.76K,0.82%
11/13/2022,"1,754.40","1,769.40","1,791.80","1,749.20",844.22K,-0.85%
11/6/2022,"1,769.40","1,678.60","1,775.60","1,667.10",1.03M,5.54%
10/30/2022,"1,676.60","1,647.20","1,686.40","1,618.30",802.01K,1.93%
10/23/2022,"1,644.80","1,662.90","1,679.40","1,640.70",730.03K,-0.69%
10/16/2022,"1,656.30","1,649.90","1,674.30","1,621.10",655.04K,0.45%
10/9/2022,"1,648.90","1,703.40","1,707.40","1,645.60",697.74K,-3.53%
10/2/2022,"1,709.30","1,670.50","1,738.70","1,666.50",733.24K,2.23%
9/25/2022,"1,672.00","1,643.00","1,684.40","1,618.00",385.32K,1.33%
9/18/2022,"1,650.00","1,680.20","1,688.00","1,642.70",2.10K,-1.66%
9/11/2022,"1,677.90","1,731.00","1,737.30","1,659.10",1.03K,-2.65%
9/4/2022,"1,723.60","1,719.70","1,726.40","1,713.50",0.25K,0.34%
8/28/2022,"1,717.70","1,740.10","1,748.60","1,707.00",4.70K,-1.32%
8/21/2022,"1,740.60","1,750.50","1,769.30","1,730.40",29.63K,-0.71%
8/14/2022,"1,753.00","1,808.20","1,808.20","1,749.50",25.51K,-2.89%
8/7/2022,"1,805.20","1,780.30","1,814.40","1,776.20",29.18K,1.39%
7/31/2022,"1,780.50","1,772.20","1,801.00","1,759.70",41.19K,0.51%
7/24/2022,"1,771.50","1,730.10","1,774.20","1,713.80",32.23K,2.32%
7/17/2022,"1,731.40","1,710.30","1,740.30","1,682.80",2.05K,1.40%
7/10/2022,"1,707.50","1,741.80","1,748.20","1,700.60",1.85K,-2.24%
7/3/2022,"1,746.70","1,817.00","1,817.00","1,736.80",3.80K,-3.28%
6/26/2022,"1,805.90","1,839.60","1,842.80","1,788.90",255.55K,-1.33%
6/19/2022,"1,830.30","1,840.60","1,850.30","1,817.70",632.65K,-0.56%
6/12/2022,"1,840.60","1,879.00","1,882.50","1,806.10",943.72K,-1.86%
6/5/2022,"1,875.50","1,853.70","1,879.60","1,826.50",735.03K,1.37%
5/29/2022,"1,850.20","1,856.50","1,878.60","1,830.20",602.65K,-0.38%
5/22/2022,"1,857.30","1,847.40","1,871.30","1,840.40",127.52K,0.68%
5/15/2022,"1,844.70","1,815.00","1,850.40","1,790.00",1.21K,1.84%
5/8/2022,"1,811.30","1,883.60","1,883.60","1,801.20",0.36K,-3.97%
5/1/2022,"1,886.20","1,894.50","1,910.20","1,859.70",0.33K,-1.51%
4/24/2022,"1,915.10","1,931.90","1,935.50","1,881.60",575.90K,-0.99%
4/17/2022,"1,934.30","1,978.50","2,003.00","1,928.00",790.68K,-2.06%
4/10/2022,"1,974.90","1,949.60","1,985.80","1,942.90",628.22K,1.51%
4/3/2022,"1,945.60","1,927.10","1,952.20","1,916.20",674.97K,1.14%
3/27/2022,"1,923.70","1,959.10","1,962.00","1,891.00",430.00K,-1.70%
3/20/2022,"1,956.90","1,922.70","1,969.50","1,913.60",4.38K,1.30%
3/13/2022,"1,931.70","1,985.60","1,990.00","1,898.60",1.78K,-2.81%
3/6/2022,"1,987.60","1,984.30","2,078.70","1,965.40",5.47K,0.95%
2/27/2022,"1,968.90","1,913.00","1,974.00","1,896.10",2.51K,4.22%
2/20/2022,"1,889.20","1,903.50","1,976.50","1,878.60",912.48K,-0.56%
2/13/2022,"1,899.80","1,862.20","1,905.00","1,845.40",1.02M,3.13%
2/6/2022,"1,842.10","1,808.00","1,867.40","1,807.50",885.49K,1.90%
1/30/2022,"1,807.80","1,792.80","1,815.80","1,785.80",742.75K,1.19%
1/23/2022,"1,786.60","1,835.30","1,855.60","1,780.60",222.82K,-2.56%
1/16/2022,"1,833.50","1,818.70","1,850.10","1,806.90",2.05K,0.84%
1/9/2022,"1,818.30","1,799.70","1,830.60","1,792.50",1.17K,1.06%
1/2/2022,"1,799.30","1,826.80","1,831.50","1,784.00",3.99K,-1.66%
12/26/2021,"1,829.70","1,810.20","1,830.20","1,789.10",323.48K,0.99%
12/19/2021,"1,811.70","1,800.20","1,812.00","1,785.00",454.79K,0.38%
12/12/2021,"1,804.90","1,784.20","1,815.70","1,753.00",744.79K,1.13%
12/5/2021,"1,784.80","1,787.70","1,794.30","1,770.40",610.03K,0.05%
11/28/2021,"1,783.90","1,795.20","1,811.40","1,762.20",922.46K,-0.17%
11/21/2021,"1,786.90","1,843.00","1,851.10","1,779.20",6.99K,-3.56%
11/14/2021,"1,852.90","1,870.10","1,880.10","1,846.00",2.16K,-0.90%
11/7/2021,"1,869.70","1,818.50","1,872.20","1,815.50",0.92K,2.84%
10/31/2021,"1,818.00","1,785.50","1,820.70","1,762.30",0.30K,1.85%
10/24/2021,"1,784.90","1,794.20","1,811.50","1,776.90",534.34K,-0.63%
10/17/2021,"1,796.30","1,767.50","1,815.50","1,760.30",945.33K,1.58%
10/10/2021,"1,768.30","1,757.40","1,801.90","1,749.90",949.20K,0.62%
10/3/2021,"1,757.40","1,762.60","1,782.40","1,745.40",863.60K,-0.06%
9/26/2021,"1,758.40","1,749.20","1,765.20","1,721.10",576.82K,0.43%
9/19/2021,"1,750.90","1,752.20","1,784.50","1,740.00",2.46K,0.02%
9/12/2021,"1,750.50","1,788.30","1,808.00","1,744.70",0.59K,-2.26%
9/5/2021,"1,791.00","1,824.00","1,824.40","1,785.00",0.07K,-2.27%
8/29/2021,"1,832.60","1,817.10","1,834.20","1,808.40",0.06K,0.85%
8/22/2021,"1,817.20","1,780.10","1,819.60","1,775.90",30.43K,1.99%
8/15/2021,"1,781.80","1,779.50","1,795.00","1,769.80",21.42K,0.33%
8/8/2021,"1,776.00","1,763.00","1,779.60","1,676.40",38.19K,0.85%
8/1/2021,"1,761.10","1,814.60","1,833.40","1,757.30",46.31K,-2.94%
7/25/2021,"1,814.50","1,803.40","1,834.70","1,792.80",28.08K,0.64%
7/18/2021,"1,802.90","1,813.60","1,826.20","1,790.20",3.11K,-0.72%
7/11/2021,"1,815.90","1,809.00","1,834.50","1,793.10",0.88K,0.24%
7/4/2021,"1,811.50","1,790.70","1,819.90","1,790.10",0.91K,1.54%
6/27/2021,"1,784.10","1,782.00","1,793.60","1,756.70",161.03K,0.35%
6/20/2021,"1,777.80","1,764.30","1,795.60","1,764.10",860.98K,0.50%
6/13/2021,"1,769.00","1,879.60","1,879.70","1,761.20",1.28M,-5.88%
6/6/2021,"1,879.60","1,894.30","1,906.90","1,871.80",937.96K,-0.66%
5/30/2021,"1,892.00","1,906.80","1,919.20","1,855.60",964.09K,-0.70%
5/23/2021,"1,905.30","1,884.30","1,914.00","1,874.30",414.27K,1.48%
5/16/2021,"1,877.60","1,843.00","1,891.90","1,843.00",3.68K,2.09%
5/9/2021,"1,839.10","1,835.30","1,847.00","1,814.70",1.33K,0.37%
5/2/2021,"1,832.40","1,774.80","1,844.30","1,772.90",1.04K,3.61%
4/25/2021,"1,768.60","1,776.10","1,785.90","1,761.80",489.93K,-0.52%
4/18/2021,"1,777.80","1,778.80","1,798.40","1,763.50",863.34K,-0.13%
4/11/2021,"1,780.20","1,744.50","1,784.70","1,723.20",817.86K,2.03%
4/4/2021,"1,744.80","1,730.00","1,759.40","1,721.60",693.12K,0.95%
3/28/2021,"1,728.40","1,732.50","1,732.70","1,677.30",609.64K,-0.30%
3/21/2021,"1,733.60","1,747.80","1,747.80","1,721.00",2.66K,-0.53%
3/14/2021,"1,742.90","1,729.30","1,752.60","1,719.80",1.63K,1.26%
3/7/2021,"1,721.20","1,703.90","1,738.00","1,677.20",0.93K,1.23%
2/28/2021,"1,700.30","1,739.00","1,755.00","1,686.00",0.38K,-1.72%
2/21/2021,"1,730.10","1,782.00","1,815.20","1,720.00",636.55K,-2.66%
2/14/2021,"1,777.40","1,826.00","1,827.10","1,759.00",1.09M,-2.51%
2/7/2021,"1,823.20","1,818.10","1,856.60","1,807.30",827.32K,0.56%
1/31/2021,"1,813.00","1,865.00","1,876.00","1,784.60",1.10M,-2.02%
1/24/2021,"1,850.30","1,856.40","1,878.90","1,831.00",557.50K,-0.41%
1/17/2021,"1,857.90","1,830.60","1,876.60","1,804.20",2.80K,1.43%
1/10/2021,"1,831.70","1,851.20","1,865.40","1,822.00",1.15K,-0.30%
1/3/2021,"1,837.30","1,917.80","1,961.40","1,831.40",2.08K,-3.16%
12/27/2020,"1,897.30","1,887.00","1,904.10","1,873.00",346.03K,0.75%
12/20/2020,"1,883.20","1,892.90","1,912.00","1,859.00",660.00K,-0.30%
12/13/2020,"1,888.90","1,845.00","1,902.00","1,820.00",914.87K,2.46%
12/6/2020,"1,843.60","1,841.10","1,879.80","1,824.80",899.02K,0.20%
11/29/2020,"1,840.00","1,790.80","1,852.70","1,767.20",983.32K,2.90%
11/22/2020,"1,788.10","1,872.90","1,877.50","1,776.50",285.83K,-4.67%
11/15/2020,"1,875.70","1,891.50","1,902.00","1,854.50",1.56K,-0.79%
11/8/2020,"1,890.70","1,960.00","1,963.40","1,856.00",4.85K,-3.30%
11/1/2020,"1,955.30","1,891.00","1,964.20","1,891.00",0.13K,3.81%
10/25/2020,"1,883.50","1,906.00","1,913.80","1,869.10",616.70K,-1.14%
10/18/2020,"1,905.20","1,903.20","1,936.00","1,894.20",913.58K,-0.06%
10/11/2020,"1,906.40","1,935.00","1,939.40","1,885.00",973.54K,-1.03%
10/4/2020,"1,926.20","1,910.90","1,936.80","1,877.10",1.00M,0.98%
9/27/2020,"1,907.60","1,860.40","1,923.60","1,848.00",953.36K,2.44%
9/20/2020,"1,862.20","1,954.80","1,956.30","1,850.00",1.43K,-4.87%
9/13/2020,"1,957.50","1,943.40","1,975.00","1,935.00",0.42K,0.73%
9/6/2020,"1,943.30","1,937.40","1,966.80","1,909.00",0.19K,0.66%
8/30/2020,"1,930.60","1,977.70","1,978.70","1,920.00",0.09K,-2.04%
8/23/2020,"1,970.80","1,938.90","1,978.50","1,901.40",57.71K,1.68%
8/16/2020,"1,938.30","1,948.20","2,016.60","1,909.60",81.36K,-0.21%
8/9/2020,"1,942.30","2,034.50","2,050.90","1,865.00",88.46K,-3.75%
8/2/2020,"2,018.00","1,985.20","2,078.00","1,963.50",97.36K,2.23%
7/26/2020,"1,973.90","1,905.00","1,992.40","1,903.60",49.16K,3.75%
7/19/2020,"1,902.50","1,817.30","1,910.20","1,812.90",5.39K,4.76%
7/12/2020,"1,816.00","1,810.60","1,825.60","1,800.20",0.66K,0.41%
7/5/2020,"1,808.60","1,793.70","1,833.00","1,787.60",0.82K,0.37%
7/2/2020,"1,801.90","1,787.90","1,829.80","1,779.20",1.16M,0.34%
6/28/2020,"1,795.80","1,788.10","1,813.10","1,773.10",0.26K,0.87%
6/21/2020,"1,780.30","1,765.80","1,796.10","1,753.50",1.02M,1.56%
6/14/2020,"1,753.00","1,740.70","1,760.90","1,706.20",859.78K,0.90%
6/7/2020,"1,737.30","1,686.70","1,754.90","1,680.70",893.19K,3.23%
5/31/2020,"1,683.00","1,749.80","1,761.00","1,671.70",1.05M,-3.92%
5/24/2020,"1,751.70","1,739.80","1,754.50","1,693.10",321.42K,0.42%
5/17/2020,"1,744.30","1,766.90","1,780.00","1,723.40",1.90K,-0.98%
5/10/2020,"1,761.50","1,714.20","1,765.30","1,700.20",0.76K,2.45%
5/3/2020,"1,719.30","1,710.90","1,738.60","1,691.00",0.49K,0.87%
4/26/2020,"1,704.40","1,745.00","1,745.80","1,682.70",318.12K,-1.80%
4/19/2020,"1,735.60","1,693.00","1,764.20","1,666.20",1.01M,2.17%
4/12/2020,"1,698.80","1,742.30","1,788.80","1,691.20",1.03M,-3.08%
4/5/2020,"1,752.80","1,647.70","1,754.50","1,638.20",741.38K,6.51%
3/29/2020,"1,645.70","1,663.40","1,673.60","1,576.00",805.72K,0.27%
3/22/2020,"1,641.30","1,509.40","1,696.30","1,488.00",9.65K,10.41%
3/15/2020,"1,486.50","1,573.60","1,573.80","1,453.60",3.85K,-2.09%
3/8/2020,"1,518.20","1,691.00","1,704.30","1,511.40",3.40K,-9.32%
3/1/2020,"1,674.30","1,593.80","1,692.30","1,580.00",0.99K,6.69%
2/23/2020,"1,569.30","1,656.00","1,691.70","1,569.10",1.89M,-4.82%
2/16/2020,"1,648.80","1,585.10","1,652.10","1,581.80",1.61M,3.93%
2/9/2020,"1,586.40","1,575.80","1,588.20","1,564.40",1.12M,0.83%
2/2/2020,"1,573.40","1,597.80","1,598.50","1,551.10",1.49M,-0.91%
1/26/2020,"1,587.90","1,580.90","1,595.50","1,565.00",735.22K,0.81%
1/19/2020,"1,575.20","1,567.00","1,578.50","1,549.20",7.54K,0.74%
1/12/2020,"1,563.60","1,563.70","1,564.90","1,539.60",4.35K,0.00%
1/5/2020,"1,563.60","1,559.10","1,615.70","1,546.40",5.09K,0.52%
12/29/2019,"1,555.50","1,525.10","1,558.30","1,524.30",0.39K,2.46%
12/22/2019,"1,518.10","1,482.40","1,519.90","1,481.20",767.74K,2.51%
12/15/2019,"1,480.90","1,480.00","1,485.80","1,474.30",879.03K,-0.02%
12/8/2019,"1,481.20","1,464.10","1,491.60","1,463.00",1.42M,1.10%
12/1/2019,"1,465.10","1,470.30","1,489.90","1,459.80",1.59M,-0.52%
11/24/2019,"1,472.70","1,464.10","1,472.90","1,454.10",507.93K,0.37%
11/17/2019,"1,467.30","1,472.80","1,482.30","1,462.00",4.38K,-0.32%
11/10/2019,"1,472.00","1,463.40","1,478.50","1,450.00",1.24K,0.38%
11/3/2019,"1,466.40","1,518.30","1,519.40","1,461.50",1.04K,-3.20%
10/27/2019,"1,514.90","1,507.40","1,521.10","1,485.60",610.12K,0.64%
10/20/2019,"1,505.30","1,495.60","1,520.90","1,484.00",1.41M,0.75%
10/13/2019,"1,494.10","1,492.00","1,503.00","1,480.60",1.45M,0.36%
10/6/2019,"1,488.70","1,518.60","1,522.30","1,478.00",1.82M,-1.60%
9/29/2019,"1,512.90","1,501.70","1,525.80","1,465.00",2.04M,0.43%
9/22/2019,"1,506.40","1,520.00","1,538.90","1,493.30",454.97K,-0.37%
9/15/2019,"1,512.00","1,508.40","1,520.40","1,489.80",0.37K,1.02%
9/8/2019,"1,496.80","1,517.00","1,526.70","1,491.90",0.62K,-1.03%
9/1/2019,"1,512.40","1,531.90","1,561.90","1,508.10",0.06K,-0.90%
8/25/2019,"1,526.20","1,537.50","1,558.60","1,528.70",42.04K,-0.34%
8/18/2019,"1,531.40","1,516.90","1,534.00","1,496.10",43.63K,0.92%
8/11/2019,"1,517.50","1,502.90","1,539.50","1,483.00",56.34K,1.03%
8/4/2019,"1,502.00","1,446.30","1,516.20","1,443.00",68.89K,3.47%
7/28/2019,"1,451.60","1,423.20","1,455.90","1,406.40",53.47K,1.97%
7/21/2019,"1,423.50","1,431.80","1,438.00","1,414.10",10.38K,-0.46%
7/14/2019,"1,430.10","1,417.50","1,457.10","1,405.40",5.29K,1.00%
7/7/2019,"1,415.90","1,404.30","1,431.30","1,392.80",1.85K,0.89%
6/30/2019,"1,403.40","1,399.60","1,442.90","1,388.60",1.00K,-0.94%
6/23/2019,"1,416.70","1,403.90","1,442.90","1,403.60",1.44M,1.19%
6/16/2019,"1,400.10","1,345.50","1,415.40","1,336.60",2.01M,4.14%
6/9/2019,"1,344.50","1,341.20","1,362.20","1,323.60",1.24M,-0.12%
6/2/2019,"1,346.10","1,312.50","1,352.70","1,310.90",1.69M,2.67%
5/26/2019,"1,311.10","1,287.20","1,311.90","1,278.50",627.61K,1.92%
5/19/2019,"1,286.40","1,281.60","1,289.80","1,272.00",1.76K,0.59%
5/12/2019,"1,278.90","1,291.10","1,304.80","1,278.00",1.07K,-0.88%
5/5/2019,"1,290.20","1,286.10","1,295.00","1,282.30",0.17K,0.46%
4/28/2019,"1,284.30","1,285.00","1,290.40","1,272.70",0.11K,-0.35%
4/21/2019,"1,288.80","1,278.00","1,290.90","1,267.90",1.18M,1.00%
4/14/2019,"1,276.00","1,294.00","1,295.20","1,273.00",1.01M,-1.48%
4/7/2019,"1,295.20","1,295.80","1,314.70","1,292.90",1.14M,-0.03%
3/31/2019,"1,295.60","1,297.20","1,301.70","1,284.90",1.12M,-0.22%
3/24/2019,"1,298.50","1,316.20","1,326.50","1,291.30",701.55K,-1.28%
3/17/2019,"1,315.40","1,303.00","1,322.40","1,301.50",5.17K,0.74%
3/10/2019,"1,305.80","1,300.90","1,314.50","1,294.10",2.14K,0.24%
3/3/2019,"1,302.70","1,297.60","1,303.10","1,286.00",0.64K,0.02%
2/24/2019,"1,302.50","1,331.90","1,334.90","1,297.00",367.47K,-2.27%
2/17/2019,"1,332.80","1,325.00","1,349.80","1,323.30",1.12M,0.81%
2/10/2019,"1,322.10","1,318.10","1,325.80","1,304.70",939.76K,0.27%
2/3/2019,"1,318.50","1,322.60","1,323.60","1,306.40",728.26K,-0.27%
1/27/2019,"1,322.10","1,302.20","1,331.10","1,299.50",700.64K,1.65%
1/20/2019,"1,300.70","1,284.50","1,305.30","1,278.70",4.44K,1.24%
1/13/2019,"1,284.80","1,296.40","1,299.40","1,282.50",2.58K,-0.63%
1/6/2019,"1,292.90","1,290.20","1,300.90","1,284.60",0.91K,0.29%
12/30/2018,"1,289.20","1,284.00","1,301.90","1,282.30",1.01K,0.24%
12/23/2018,"1,286.10","1,260.70","1,282.30","1,260.00",559.28K,2.23%
